explanation,text
"Literal meaning. That is, 'chop off his head'. It is now usually used humorously as a means of mildly reproaching someone. ",Off with his head
Imminent; likely to happen soon.,Offing - In the
A jocular exclamation or expression of astonishment. ,"Oh, my stars and garters"
The misheard lyric that was the source of the generic term for misheard lyrics - mondegreens. ,"Oh, they have slain the Earl of Moray and Lady Mondegreen"
Satisfactory - all correct. ,Okay
'Okey-dokey' is just an extended form of 'okay'. ,Okey-dokey
"Very
old.",Old as Methuselah
Exceedingly old.,Old as the hills
"A story that has been told repeatedly before, a 'venerable' joke. Hence, in extended use, anything trite, stale, or too often repeated.",Old chestnut
"An old man, especially one who is eccentric, curmudgeonly or grotesque.",Old codger
"An old fogey is someone, usually an elderly man, with old-fashioned or conservative  attitudes and appearance.",Old fogey
Old-fashioned; hackneyed.,Old hat
"The Anglicized version of 'auld lang syne', which means old long-since or old long-ago. ",Old lang syne - see auld lang syne
"To be faced with a situation which is pointless, as a successful outcome is impossible. This is usually expressed in terms of a sporting contest in which one of two outcomes is foreseen, either a hiding or nothing. The 'to' in the phrase indicates alternative outcomes, as in terms like '6 to 1' or 'dollars to doughnuts'. ",On a hiding to nothing
"In a difficult situation, relying on meagre resources and luck to get out of it. ",On a wing and a prayer
"Euphemism
for being bankrupt or in debt.",On Carey Street
To be 'on cloud nine' is to be in a state of blissful happiness.,On cloud nine
An imaginary street where people in difficulty live. ,On queer street
To be 'on tenterhooks' is to be in a state of uncomfortable suspense or impatience. ,On tenterhooks
To be alert; in command of one's senses. ,On the ball
"On the threshold; finely balanced between success and failure; for example, if a qualifying competition for an event allowed the top eight runners to proceed to the next round then those who were close to qualification and could get through by a small increase in performance would be said to be 'on the bubble'. ",On the bubble
Just right; exactly on target or at exactly the right time.,On the button
Unemployed and in receipt of state benefit. This expression is used worldwide but most commonly  in the UK and Australia.,On the dole
Engaged in a fraud. ,On the fiddle
To be in luck; in a prosperous happy state. ,On the pig's back
On the quiet.,On the QT
Using the understanding gained by major thinkers who have gone before in order to make intellectual progress.,On the shoulders of giants
(Originally) Supporting the theory of the divine creation.,On the side of the angels
'On the wagon' - abstaining from alcohol. 'Off the wagon' - returned to drinking after an attempt to give it up. ,On the wagon
Intent on a confrontation or fight. ,On the warpath
Prepare for a stage performance. Latterly also used more widely just to mean let's begin or let's continue. ,On with the motley
Hard up; in a bad situation. ,On your beam ends
On your own. ,On your tod
"The proverb 'once bitten, twice shy' suggests that, when someone is hurt doing something, they are wary of doing it again for fear of being hurt a second time.","Once bitten, twice shy"
Very rarely. ,Once in a blue moon
Let us try again one more time.,"Once more unto the breach, dear friends, once more"
"A performer or act, usually a singer or band, who has just one popular success.",One-hit wonder
'At one fell swoop' means 'suddenly; in a single action'.,One fell swoop - At
A final drink taken just before leaving on a journey.,One for the road
To be near to death.,One foot in the grave
"'One good turn deserves another'Â is a proverbial expression that means, when someone does you a good turn, a good turn done in return is appropriate.",One good turn deserves another
The proverb 'one hand washes the other' expresses the idea that mutual cooperation can help both parties. ,One hand washes the other
The final drink that renders someone drunk.,One over the eight
"A jokey, colloquial term for stupid.",One sandwich short of a picnic
"These were Neil
Armstrong's words on first setting foot on the moon in 1969. The line is a strong contender as the most famous  ever to have been uttered. ",One small step for man
"A location, usually a shop, where various requirements can be met in one place. ",One stop shop
A single instance of something is just that; it doesn't indicate a trend.,One swallow doesn't make a summer
To one's (or your) heart's content means to one's complete inner satisfaction - until one's heart is content. ,One's heart's content
'Oompa Loompa' is the name Roald Dahl used for the group of diminutive factory workers in the 1964 novel Charlie and the Chocolate Factory. ,Oompa Loompa
'Ups-a-daisy' is an exclamation made when encouraging a child to get up after a fall or when lifting a child into the air.,Oops-a-daisy
"A time when criticism or other negative actions may be expected, with no mercy shown. ",Open season
"Given
the sack, that is, asked to leave your job (see 'get the sack').",(The) order of the boot
English isn't an easy language to learn. One reason for that is the non-standard spelling and pronunciation. There's no better example of that than in the many ways that 'ough' is pronounced. ,Ough - the many ways to pronounce
Excellent; extraordinary.,Out of sight
The idea that something is easily forgotten or dismissed as unimportant if it is not in our direct view. ,"Out of sight, out of mind"
To be 'out of sorts' is to be mildly unwell; not in one's usual health or state of mind. ,Out of sorts
"A
complete surprise, like
a bolt of lightning from a clear blue sky - literally 'out of the blue'.",Out of  the blue
 To jump 'out of the frying pan into the fire' means 'to escape from one evil only to succumb a greater one'.,Out of the frying pan into the fire
